"Rank","Title","Release","Metascore","Country"
"1","Волшебный дракон Пафф",1978,"4.9","США"
"2","Власть дракона",2004,"4.4","США"
"3","Виверн: Возрождение дракона",2009,"4.0","Канада"
"4","Охотники на драконов",2008,"4.6","Франция"
"5","Синтел",2010,"3.7","Нидерланды"
"6","Принц драконов",2018,"3.0","США"
"7","Драконы и всадники Олуха",2012,"3.0","США"
"8","Драконы: Гонки по краю",2015,"3.9","США"
"9","Игра престолов",2011,"4.7","США"
"10","Унесённые призраками",2001,"2.5","Япония"
"11","Бесконечная история",1984,"4.2","Германия (ФРГ)"
"12","Дракон Пита",1977,"4.3","США"
"13","Седьмой сын",2014,"5.0","США"
"14","Последний дракон: В поисках магической жемчужины",2011,"7.1","Австралия"
"15","Эра драконов",2010,"7.5","США"
"16","Огонь и лед: Хроники драконов",2008,"7.7","Румыния"
"17","Кольцо дракона",1994,"7.7","Италия"
"18","Волшебник Земноморья",2004,"7.7","США"
"19","Приключения охотника на драконов",2010,"9.0","США"
"20","Там обитают драконы",2011,"8.4","Испания"
"21","Мерлин и последний дракон",2008,"7.9","США"
"22","Гнездо дракона",2014,"7.5","Китай"
"23","Власть огня",2002,"7.2","США"
"24","Кольцо дракона",2004,"8.0","Великобритания"
"25","Эрагон",2006,"7.2","США"
"26","Войны орков",2013,"8.0","США"
"27","Драконы Камелота",2014,"7.9","США"
"28","Воины дракона",2015,"7.5","США"
"29","Принцесса и дракон",2018,"7.9","Россия"
"30","Дракон",1994,"8.2","Великобритания"
"31","Пит и его дракон",2016,"7.7","США"
"32","Легенда о Драконе",2006,"7.7","США"
"33","Он – дракон",2015,"6.8","Россия"
"34","Хоббит: Пустошь Смауга",2013,"5.8","Новая Зеландия"
"35","Подземелье драконов",1983,"5.2","США"
"36","Подземелье драконов 3: Книга заклинаний",2012,"6.4","Великобритания"
"37","Подземелье драконов 2: Источник могущества",2005,"5.8","Германия"
"38","Подземелье драконов",2000,"6.8","США"
"39","Полёт драконов",1982,"6.5","США"
"40","Книга драконов",2011,"6.0","США"
"41","Драконы: Подарок ночной фурии",2011,"5.1","США"
"42","Как приручить дракона: Возвращение",2019,"5.4","США"
"43","Как приручить дракона 2",2014,"6.6","США"
"44","Как приручить дракона",2010,"6.8","США"
"45","Как приручить дракона 3",2019,"5.8","США"
"46","Сердце дракона: Возмездие",2020,"6.6","США"
"47","Сердце дракона 4",2017,"5.5","США"
"48","Сердце дракона 3: Проклятье чародея",2015,"5.4","США"
"49","Сердце дракона: Начало",1999,"5.7","США"
"50","Сердце дракона",1996,NA,"США"
